text,true_label,predicted_label,confidence
"Faida za kiafya za kushangaza za kutembea kwenda nyuma
Kutembea hakuhitaji vifaa maalum au uanachama wa sehemu za mazoezi (gym) na bora zaidi, ni bure kabisa. Kwa wengi wetu, kutembea ni kitu tunachofanya kama ni jambo la kawaida tu. Haihitaji juhudi za makusudi, kwa hivyo wengi wetu hatukumbuki fai",sports,health,0.8589527201943687
"Vita vya Ukraine: Sura zilizotumika kumtangaza Vladimir Putin mitandaoni
ER Yamini msichana mwenye ushawishi katika mitandao ya kijamii nchini India, hajawahi kuchapisha kitu chochote katika mtandao wa Twitter  maishani mwake - anapendelea kuongeza wafuasi wake wakubwa kwenye mtandao wa  Instagram n",politics,technology,0.8360273602928162
"Isabel dos Santos: Mwanamke tajiri zaidi Afrika 'aliipora Angola'
Hati zilizovuja zinaonyesha jinsi mwanamke tajiri barani Afrika alivyopata utajiri wake kupitia unyonyaji kwa nchi yake na ufisadi. Isabel dos Santos alipata mikataba ya faida kubwa inayojumuisha ardhi, mafuta, almasi na simu wakati b",politics,business,0.8226405564028892
"Siku 100 za utawala wa Ruto: Uzito kwa rais wa Kenya kuambatanisha maneno na vitendo
Siku zina kasi.Na hazina huruma  iwapo ndimi za viongozi wa kisiasa zinatoa cheche na ahadi na kusikika kama  wimbo mtamu katika masikio ya wapiga kura na wananchi kwa jumla . Kwa rais wa Kenya William Ruto  siku za",business,politics,0.7695330325895413
"Jinsi tiba ya saratani ya dhahabu, ubani na manukato inavyohusishwa na Yesu Kristo
Mapambo yanayotengenezwa katika onyesho la Krismasi huonyesha vitu vitatu vikitolewa kama zawadi. Hadithi inaelezea kuwa wanaume wenye busara walikuja na kumpatia mtoto Yesu dhahabu, ubani na manukato. Vitu hivi vitat",religion,health,0.7682628117404309
"Je vikwazo vya Marekani ndio sababu ya maandamano haya?
Maandamano yamezuka katika maeneo tofauti nchini Iran bada ya serikali kutangaza ghafla mpango wa kuuza mafuta kwa mgao na kuongeza bei ya bidhaa hiyo. Kwa mujibu wa ripoti ya shirika la habari la kitaifa bei ya mafuta ilipanda kwa 50% siku ya ",politics,business,0.7247957894760707
"Maonyesho ya Dubai 2020: Mfahamu rais wa zamani wa Marekani aliyeweka Korani ofisini kwake
Tafsiri ya nadra ya kitabu Korani ya rais wa zamani wa Marekani  Thomas Jefferson inaonyeshwa katika Maonyesho ya Dubai yamwaka 2020. Ni mara  ya kwanza kwa nakala hii kutolewa  nje Marekani tangu karne ya kum",politics,religion,0.7141163311888608
"Virusi vya corona: Kwa nini watoto waliozaliwa na kina mama wa kupanga wamekwama Ukraine?
Watoto waliozaliwa na kina mama wa kupanga wamekwama nchini Ukraine  kutokana na masharti ya kutotoka nje kukabiliana na virusi vya corona.",business,health,0.6967465693417523
"Kuku wanaokuzwa maabara ni mlo salama, wasema wadhibiti wa viwango Marekani
Nyama inayokuzwa katika maabara  imeidhinishwa kuliwa na binadamu kwa mara ya kwanza. Shirika la usalama wa chakula na dawa nchini Marekani  (FDA),  limetoa idhini ya kuliwa kwa kuku ambao seli zao zinakuzwa ndani ya maabara",religion,business,0.6742214271051521
"Uchaguzi Tanzania 2020: Kwa mara ya kwanza Tanzania itafanya uchaguzi bila kutegemea msaada wa nje
Bajeti ya uchaguzi ni moja kati ya masuala ya msingi zaidi ambayo huenda yakachangia shughuli za uchaguzi kwenda kwa uafinisi ama kusuasua. Katika uchaguzi wa nchi nyingi zinazoendelea hasa Barani Afri",business,politics,0.6456222161602111
