text,true_label,predicted_label,confidence
"Faida za kiafya za kushangaza za kutembea kwenda nyuma
Kutembea hakuhitaji vifaa maalum au uanachama wa sehemu za mazoezi (gym) na bora zaidi, ni bure kabisa. Kwa wengi wetu, kutembea ni kitu tunachofanya kama ni jambo la kawaida tu. Haihitaji juhudi za makusudi, kwa hivyo wengi wetu hatukumbuki fai",sports,health,0.99439925
"Virusi vya corona: Kwa nini watoto waliozaliwa na kina mama wa kupanga wamekwama Ukraine?
Watoto waliozaliwa na kina mama wa kupanga wamekwama nchini Ukraine  kutokana na masharti ya kutotoka nje kukabiliana na virusi vya corona.",business,health,0.9937583
"Miché Solomon aligundua ameibiwa kupitia Selfie
Mwezi Aprili mwaka  1997 mwanamke aliyevalia sare za muuguzi alitoka katika hospitali ya Cape Town akiwa amembeba mtoto wa siku tatu kutoka wodi ya kinamama kujifungulia huku mama yake mtoto huyo halisi akiwa amelala. Miaka 17 baadae, mtoto huyo amegun",entertainment,health,0.9929143
"Siku 100 za utawala wa Ruto: Uzito kwa rais wa Kenya kuambatanisha maneno na vitendo
Siku zina kasi.Na hazina huruma  iwapo ndimi za viongozi wa kisiasa zinatoa cheche na ahadi na kusikika kama  wimbo mtamu katika masikio ya wapiga kura na wananchi kwa jumla . Kwa rais wa Kenya William Ruto  siku za",business,politics,0.9917218
"Uchaguzi Tanzania 2020: Kwa mara ya kwanza Tanzania itafanya uchaguzi bila kutegemea msaada wa nje
Bajeti ya uchaguzi ni moja kati ya masuala ya msingi zaidi ambayo huenda yakachangia shughuli za uchaguzi kwenda kwa uafinisi ama kusuasua. Katika uchaguzi wa nchi nyingi zinazoendelea hasa Barani Afri",business,politics,0.9912328
"Biashara ya kikatili ya watoto Nigeria ambapo wanawake hutekwa, hupewa uja uzito na watoto wao kuuzwa
Walikwenda kutafuta ajira  na kuishia kutekwa , kubakwa na watoto wao kuuzwa. Katika sehemu ya mwisho ya biashara ya ulanguzi wa binadamu nchini Nigeria, polisi waliwaachilia huru wanawake 19 waliok",health,business,0.99097985
"Kifo cha Magufuli: Watu watano wa familia moja wafariki wakimuaga Rais Magufuli
Familia moja jijini Dar Es Salaam imepoteza watu watano katika mkanyagano uliotokea wakati maelfu ya wakaazi wa jiji hilo walipojitokeza kuuaga mwili wa Rais John Magufuli. Dennis Mtuwa amepoteza mke wake, watoto wawili,",business,politics,0.9906934
"Je 'Siku ya Wajinga' duniani ilianzaje?
Siku ya wajinga duniani -inayoadhimishwa Aprili 1 kila mwaka - imekuwa ikiadhimishwa kwa karne kadhaa na tamaduni tofauti, ingawa asili yake halisi bado ni siri. Mila ya Siku ya wajinga ni pamoja na kuwadanganya watu au kuwafanyia au utani wa vitendo mbalimbal",entertainment,religion,0.9905996
"Kuku wanaokuzwa maabara ni mlo salama, wasema wadhibiti wa viwango Marekani
Nyama inayokuzwa katika maabara  imeidhinishwa kuliwa na binadamu kwa mara ya kwanza. Shirika la usalama wa chakula na dawa nchini Marekani  (FDA),  limetoa idhini ya kuliwa kwa kuku ambao seli zao zinakuzwa ndani ya maabara",religion,health,0.9888065
"Magufuli awahimiza Watanzania kuzaana ili kuimarisha uchumi
Rais John Magufuli amewataka wanawake nchini Tanzania kutofunga vizazi vyao ili kuweza kuzaa watoto wengi kama njia mojawapo ya kupiga jeki uchumi wa taifa hilo kwa ili kuwa taifa lenye uchumi mkubwa Afrika mashariki , hatua ambayo wakosoaj",health,business,0.98509884
